stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
PH84,PH84,Buenaventura / Av. Card. Raúl Silva H.,-33.5074382657,-70.6895659891,
PH85,PH85,El Riel / Buenaventura,-33.5065377486,-70.6912421304,
PH86,PH86,Av. Lo Ovalle / Av. Card. Raúl Silva H.,-33.5037702751,-70.6907532914,
PH87,PH87,Union Ferroviaria /  Av. Card. Raúl Silva H.,-33.5006852109,-70.6892705901,
PH80,PH80,Av. Pdte. Allende / Av. Card. Raúl Silva H.,-33.5141715986,-70.6928698108,
PH81,PH81,14 Sur / Av. Card. Raúl Silva H.,-33.5131216958,-70.692396013,
PH82,PH82,12 Sur / Av. Card. Raúl Silva H.,-33.5119834015,-70.6917778621,
PH83,PH83,7 Sur / Av. Card. Raúl Silva H.,-33.5103502315,-70.6910312484,
PH88,PH88,Isla De Pascua / Av. Card. Raúl Silva H.,-33.4978550647,-70.6878807798,
PH89,PH89,Centroamérica / Av. Card. Raúl Silva H.,-33.4941885475,-70.6866508255,
PG249,PG249,Carlos Casanueva / Trinidad Ramírez,-33.5429506008,-70.668370539,
PA630,PA630,Santiago / San Ignacio,-33.4625429836,-70.6552929775,
PA633,PA633,Parada 5 / (M) Rondizzoni,-33.4702399598,-70.6547309697,
PA635,PA635,Centenario / San Ignacio,-33.4764679641,-70.6540869474,
PA634,PA634,Parada 3 / Centro De Justicia,-33.4733750229,-70.6543479771,
PA637,PA637,Av. Portugal / Franklin,-33.4714579548,-70.6288850135,
PA636,PA636,Parada 3 / (M) Franklin,-33.4760178578,-70.6495548034,
PA639,PA639,Santa Elena / Arauco,-33.4703199938,-70.627309031,
PA638,PA638,Av. Portugal / Arauco,-33.4707789727,-70.6297559698,
PI402,PI402,Parada 7 / (M) Estación Central,-33.450820281,-70.6784709338,
PI403,PI403,Parada 8 / (M) Estación Central,-33.4512901607,-70.6807980372,
PI400,PI400,Parada 3 / (M) Las Rejas,-33.4577241154,-70.705893549,
PI401,PI401,Parada 4 / (M) A. Hurtado,-33.4542522927,-70.6914835878,
PI406,PI406,Parada 4 / (M) Ecuador,-33.4556777838,-70.6996130478,
PI407,PI407,Parada 1 / Paradero 4 Pajaritos,-33.4601996726,-70.7153164849,
PI404,PI404,Parada 4 / (M) U. De Santiago,-33.4523958075,-70.6855985035,
PI405,PI405,Parada 2 / (M) A. Hurtado,-33.4534626583,-70.6900557887,
PG1459,PG1459,Central / Indio Jerónimo,-33.5494578423,-70.6878693073,
PG1458,PG1458,El Pillán / Indio Jerónimo,-33.5514993503,-70.6886889084,
PI408,PI408,Paradero 5 Pajaritos,-33.4619268572,-70.7191865378,
PI409,PI409,Paradero 5 1/2 Pajaritos,-33.4630138192,-70.721596064,
PI1523,PI1523,La Ópera / La Sinfonía,-33.4894539027,-70.7597421507,
PI1522,PI1522,Israel / Judea,-33.5444052871,-70.7628647097,
PC859,PC859,Camino Del Yunque / Camino El Huinganal,-33.3377822213,-70.5103329227,
PC858,PC858,Camino El Huinganal Alt. 3200,-33.340324524,-70.5098105639,
PB726,PB726,Santos Ossa / Av. Zapadores,-33.3918831661,-70.6374926713,
PB727,PB727,María Del Pilar / Av. Zapadores,-33.3926129548,-70.6356517119,
PB724,PB724,Parada 4 / (M) Zapadores,-33.3909136206,-70.6427581529,
PB725,PB725,Dora / Av. Zapadores,-33.3915945283,-70.6392380298,
PB722,PB722,Freirina / Av. Zapadores,-33.3893390559,-70.6462119163,
PB723,PB723,Nva. Recoleta / Av. Zapadores,-33.3903674685,-70.6439021758,
PH209,PH209,(M) Rodrigo De Araya,-33.4787830369,-70.6220990601,
PH208,PH208,Parada 1 / Paradero 2 Vicuña Mackenna,-33.4747104296,-70.6231773878,
PH207,PH207,Parada 1 / Paradero 1 Vicuña Mackenna,-33.4717289007,-70.6241067161,
PH206,PH206,Parada 4 / Muni. San Joaquín,-33.4790051721,-70.6417026181,
PH205,PH205,Parada 4 / Paradero 3 Santa Rosa,-33.4812070711,-70.6415997386,
PH204,PH204,Parada 4 / Hosp. Trudeau,-33.4843429768,-70.6411844,
PH203,PH203,Parada 2 / Paradero 6 Santa Rosa,-33.4883458097,-70.6406662448,
PH202,PH202,Parada 4 / Paradero 8 Santa Rosa,-33.4923378236,-70.6401544114,
PH201,PH201,Parada 4 / Paradero 9 Santa Rosa,-33.4956249615,-70.639677362,
PH200,PH200,Parada 4 / Paradero 9 1/2 Santa Rosa,-33.4981385128,-70.6393845092,
PJ532,PJ532,El Meli / Av. José Joaquín Pérez,-33.4273609608,-70.7600222179,
PJ531,PJ531,Rolando Petersen / Av. José Joaquín Pérez,-33.429518449,-70.7487401734,
PJ536,PJ536,Leoncio Fernández / Costanera Sur,-33.4142951652,-70.6964325518,
PJ535,PJ535,Gonzalo Bulnes / Costanera Sur,-33.412804073,-70.6983846371,
PJ534,PJ534,Emb. Gómez / Av. Carrascal,-33.4222939048,-70.6954467694,
PJ539,PJ539,Parada 9 / (M) Las Rejas,-33.4571440245,-70.706008171,
PJ538,PJ538,Parada 10 / (M) Las Rejas,-33.4571044581,-70.7058426792,
PA187,PA187,Parada 1 / (M) República,-33.4474060575,-70.6668698391,
PA186,PA186,Parada 6 / (M) U.L.A.,-33.4485927564,-70.671237619,
PA185,PA185,Parada 3 / (M) Los Héroes,-33.4459781074,-70.6610853284,
PA184,PA184,Parada 4 / (M) La Moneda,-33.444622418,-70.6552717163,
PA183,PA183,Parada 3 / (M) U. De Chile,-33.4437635127,-70.6511131112,
PA182,PA182,Parada 2 / (M) Santa Lucía,-33.4425912963,-70.6459740696,
PA181,PA181,(M) Ñuble,-33.4672343357,-70.6264960909,
PA180,PA180,Maule / Av. Vicuña Mackenna,-33.4646764686,-70.627218711,
PG1587,PG1587,Santa Corina / Paulina,-33.5148271766,-70.660937122,
PJ1684,PJ1684,Lebreles / Av. La Estrella,-33.4649341214,-70.7534051789,
