name,api_url,pkdx_id,weight,height,exp,ntypes,egg_group_1,egg_group_2,type_1,type_2,url_image_api,id,pokemon,hp,attack,defense,special_attack,special_defense,speed,total,average,url_icon_bp,url_detail_bp,url_image_bp,color_t1,color_t2,color_tp
bulbasaur,api/v1/pokemon/1/,1,69,7,64,2,Plant,Monster,poison,grass,http://pokeapi.co/media/img/1.png,001,Bulbasaur,45,49,49,65,65,45,318,53,http://cdn.bulbagarden.net/upload/e/ec/001MS.png,http://bulbapedia.bulbagarden.net/wiki/Bulbasaur_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/2/21/001Bulbasaur.png/250px-001Bulbasaur.png,#A040A0,#78C850,#975E8E
ivysaur,api/v1/pokemon/2/,2,130,10,142,2,Plant,Monster,poison,grass,http://pokeapi.co/media/img/2.png,002,Ivysaur,60,62,63,80,80,60,405,67.5,http://cdn.bulbagarden.net/upload/6/6b/002MS.png,http://bulbapedia.bulbagarden.net/wiki/Ivysaur_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/7/73/002Ivysaur.png/250px-002Ivysaur.png,#A040A0,#78C850,#975E8E
venusaur,api/v1/pokemon/3/,3,1000,20,236,2,Plant,Monster,poison,grass,http://pokeapi.co/media/img/3.png,003,Venusaur,80,82,83,100,100,80,525,87.5,http://cdn.bulbagarden.net/upload/d/df/003MS.png,http://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/a/ae/003Venusaur.png/250px-003Venusaur.png,#A040A0,#78C850,#975E8E
charmander,api/v1/pokemon/4/,4,85,6,62,1,Dragon,Monster,fire,NA,http://pokeapi.co/media/img/4.png,004,Charmander,39,52,43,60,50,65,309,51.5,http://cdn.bulbagarden.net/upload/b/bb/004MS.png,http://bulbapedia.bulbagarden.net/wiki/Charmander_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/7/73/004Charmander.png/250px-004Charmander.png,#F08030,#F08030,#F39C5E
charmeleon,api/v1/pokemon/5/,5,190,11,142,1,Dragon,Monster,fire,NA,http://pokeapi.co/media/img/5.png,005,Charmeleon,58,64,58,80,65,80,405,67.5,http://cdn.bulbagarden.net/upload/d/dc/005MS.png,http://bulbapedia.bulbagarden.net/wiki/Charmeleon_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/4/4a/005Charmeleon.png/250px-005Charmeleon.png,#F08030,#F08030,#F39C5E
charizard,api/v1/pokemon/6/,6,905,17,240,2,Dragon,Monster,flying,fire,http://pokeapi.co/media/img/6.png,006,Charizard,78,84,78,109,85,100,534,89,http://cdn.bulbagarden.net/upload/0/01/006MS.png,http://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/7/7e/006Charizard.png/250px-006Charizard.png,#A890F0,#F08030,#B88CC5
squirtle,api/v1/pokemon/7/,7,90,5,63,1,Water1,Monster,water,NA,http://pokeapi.co/media/img/7.png,007,Squirtle,44,48,65,50,64,43,314,52.33,http://cdn.bulbagarden.net/upload/9/92/007MS.png,http://bulbapedia.bulbagarden.net/wiki/Squirtle_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/3/39/007Squirtle.png/250px-007Squirtle.png,#6890F0,#6890F0,#89A8F3
wartortle,api/v1/pokemon/8/,8,225,10,142,1,Water1,Monster,water,NA,http://pokeapi.co/media/img/8.png,008,Wartortle,59,63,80,65,80,58,405,67.5,http://cdn.bulbagarden.net/upload/f/f3/008MS.png,http://bulbapedia.bulbagarden.net/wiki/Wartortle_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/0/0c/008Wartortle.png/250px-008Wartortle.png,#6890F0,#6890F0,#89A8F3
blastoise,api/v1/pokemon/9/,9,855,16,239,1,Water1,Monster,water,NA,http://pokeapi.co/media/img/9.png,009,Blastoise,79,83,100,85,105,78,530,88.33,http://cdn.bulbagarden.net/upload/c/cb/009MS.png,http://bulbapedia.bulbagarden.net/wiki/Blastoise_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/0/02/009Blastoise.png/250px-009Blastoise.png,#6890F0,#6890F0,#89A8F3
caterpie,api/v1/pokemon/10/,10,29,3,39,1,Bug,NA,bug,NA,http://pokeapi.co/media/img/10.png,010,Caterpie,45,30,35,20,20,45,195,32.5,http://cdn.bulbagarden.net/upload/6/69/010MS.png,http://bulbapedia.bulbagarden.net/wiki/Caterpie_(Pok%C3%A9mon),http://cdn.bulbagarden.net/upload/thumb/5/5d/010Caterpie.png/250px-010Caterpie.png,#A8B820,#A8B820,#BBC751
