diputado_id,nombre,comite,img_url,fecha_namcimiento,profesion,region,distrito,partido
177,Felipe Letelier Norambuena,Partido Por la Democracia,/img.aspx?prmid=g177,11 de mayo de 1956,Técnico agrícola,VI,33,PPD
802,Sergio Aguiló Melo,Partido Comunista - Izquierda Ciudadana,/img.aspx?prmid=g802,9 de febrero de 1953,Ingeniero Comercial,VII,37,IC
811,Ramón Barros Montero,Unión Demócrata Independiente,/img.aspx?prmid=g811,5 de marzo de 1958,Ingeniero Agrónomo,VI,35,UDI
813,Germán Becker Alvear,Renovación Nacional,/img.aspx?prmid=g813,13 de marzo de 1955,Ingeniero Civil,IX,50,RN
819,Guillermo Ceroni Fuentes,Partido Por la Democracia,/img.aspx?prmid=g819,30 de julio de 1946,Abogado,VII,40,PPD
836,Marcos Espinosa Monardes,Partido Radical Social Demócrata,/img.aspx?prmid=g836,27 de octubre de 1962,"Licenciado en Educación, Profesor de Historia y Geografía",II,3,PRSD
837,Fidel Espinoza Sandoval,Partido Socialista,/img.aspx?prmid=g837,24 de enero de 1970,"Profesor de Estado en historia y geografía, licenciado en educación",X,56,PS
839,Ramón Farías Ponce,Partido Por la Democracia,/img.aspx?prmid=g839,23 de agosto de 1955,Actor,RM,25,PPD
843,René Manuel García García,Renovación Nacional,/img.aspx?prmid=g843,24 de mayo de 1950,Perito Agrícola,IX,52,RN
846,Joaquín Godoy Ibáñez,Mixto e Independientes,/img.aspx?prmid=g846,25 de enero de 1977,Ingeniero Comercial,V,13,AMPL
848,Rodrigo González Torres,Partido Por la Democracia,/img.aspx?prmid=g848,26 de septiembre de 1941,Doctorado en Filosofía y Profesor,V,14,PPD
850,Javier Hernández Hernández,Unión Demócrata Independiente,/img.aspx?prmid=g850,7 de agosto de 1954,Medicina Veterinaria,X,55,UDI
854,Enrique Jaramillo Becker,Partido Por la Democracia,/img.aspx?prmid=g854,11 de julio de 1937,Economista Bancario y Agricultor,XIV,54,PPD
855,Carlos Abel Jarpa Wevar,Partido Radical Social Demócrata,/img.aspx?prmid=g855,24 de noviembre de 1944,Médico Oftalmólogo,VIII,41,PRSD
856,Tucapel Jiménez Fuentes,Partido Por la Democracia,/img.aspx?prmid=g856,1 de septiembre de 1962,Ingeniero de Ejecución Eléctrico,RM,27,PPD
857,José Antonio Kast Rist,Mixto e Independientes,/img.aspx?prmid=g857,18 de enero de 1966,Abogado,RM,24,IND
860,Roberto León Ramírez,Partido Demócrata Cristiano,/img.aspx?prmid=g860,11 de febrero de 1951,Abogado,VII,36,DC
862,Pablo Lorenzini Basso,Partido Demócrata Cristiano,/img.aspx?prmid=g862,25 de octubre de 1949,Ingeniero Comercial y Contador Auditor,VII,38,DC
863,Rosauro Martínez Labbé,Renovación Nacional,/img.aspx?prmid=g863,11 de noviembre de 1950,Agricultor,VIII,41,RN
865,Patricio Melero Abaroa,Unión Demócrata Independiente,/img.aspx?prmid=g865,19 de junio de 1956,Ingeniero Agrónomo,RM,16,UDI
866,Fernando Meza Moncada,Partido Radical Social Demócrata,/img.aspx?prmid=g866,14 de julio de 1946,Médico Cirujano,IX,52,PRSD
867,Cristián Monckeberg Bruner,Renovación Nacional,/img.aspx?prmid=g867,12 de mayo de 1968,Abogado,RM,23,RN
868,Nicolás Monckeberg Díaz,Renovación Nacional,/img.aspx?prmid=g868,31 de julio de 1973,Abogado,RM,18,RN
869,Manuel Monsalve Benavides,Partido Socialista,/img.aspx?prmid=g869,9 de julio de 1965,"Médico Cirujano, Magíster(c) en Gobierno y Gerencia Pública",VIII,46,PS
874,Claudia Nogueira Fernández,Unión Demócrata Independiente,/img.aspx?prmid=g874,26 de noviembre de 1969,Abogada,RM,19,UDI
875,Iván Norambuena Farías,Unión Demócrata Independiente,/img.aspx?prmid=g875,4 de septiembre de 1958,Ingeniero en Administración,VIII,46,UDI
876,Marco Antonio Núñez Lozano,Partido Por la Democracia,/img.aspx?prmid=g876,2 de septiembre de 1966,"Médico, Doctor en Salud y Políticas Públicas",V,11,PPD
877,Sergio Ojeda Uribe,Partido Demócrata Cristiano,/img.aspx?prmid=g877,12 de marzo de 1943,Abogado,X,55,DC
879,José Miguel Ortiz Novoa,Partido Demócrata Cristiano,/img.aspx?prmid=g879,22 de noviembre de 1941,Profesor de enseñanza básica con mención en Matemáticas,VIII,44,DC
880,Clemira Pacheco Rivas,Partido Socialista,/img.aspx?prmid=g880,5 de mayo de 1961,Profesora Básica y Diferencial,VIII,45,PS
883,Denise Pascal Allende,Partido Socialista,/img.aspx?prmid=g883,,Cientista Política y Diseñadora Paisajista,RM,31,PS
885,José Pérez Arriagada,Partido Radical Social Demócrata,/img.aspx?prmid=g885,29 de diciembre de 1940,Técnico Agrícola- Perito Forestal,VIII,47,PRSD
888,Alberto Robles Pantoja,Partido Radical Social Demócrata,/img.aspx?prmid=g888,4 de octubre de 1956,"Médico Cirujano, Especialidad en Urología",III,6,PRSD
891,Karla Rubilar Barahona,Mixto e Independientes,/img.aspx?prmid=g891,17 de abril de 1977,Médico Cirujano,RM,17,IND
893,Jorge Sabag Villalobos,Partido Demócrata Cristiano,/img.aspx?prmid=g893,26 de diciembre de 1963,Ingeniero civil y Abogado,VIII,42,DC
897,Alejandra Sepúlveda Orbenes,Mixto e Independientes,/img.aspx?prmid=g897,13 de noviembre de 1965,Médico Veterinario,VI,34,IND
898,Gabriel Silber Romo,Partido Demócrata Cristiano,/img.aspx?prmid=g898,15 de septiembre de 1976,Abogado,RM,16,DC
902,Jorge Tarud Daccarett,Partido Por la Democracia,/img.aspx?prmid=g902,19 de julio de 1953,Egresado de Derecho,VII,39,PPD
905,Marisol Turres Figueroa,Unión Demócrata Independiente,/img.aspx?prmid=g905,13 de julio de 1964,"Abogado, Universidad de Chile. Magister en Derecho Económico y Financiero, Universidad del Desarrollo",X,57,UDI
906,Jorge Ulloa Aguillón,Unión Demócrata Independiente,/img.aspx?prmid=g906,15 de septiembre de 1958,Profesor de Historia y Geografía,VIII,43,UDI
908,Ignacio Urrutia Bonilla,Unión Demócrata Independiente,/img.aspx?prmid=g908,16 de septiembre de 1957,Agricultor,VII,40,UDI
911,Patricio Vallespín López,Partido Demócrata Cristiano,/img.aspx?prmid=g911,24 de abril de 1964,Geógrafo y Consultor Internacional,X,57,DC
913,Mario Venegas Cárdenas,Partido Demócrata Cristiano,/img.aspx?prmid=g913,3 de diciembre de 1957,Profesor Enseñanza Media especialidad Historia y Geografía,IX,48,DC
915,Germán Verdugo Soto,Renovación Nacional,/img.aspx?prmid=g915,5 de octubre de 1948,Abogado,VII,37,RN
919,Felipe Ward Edwards,Unión Demócrata Independiente,/img.aspx?prmid=g919,14 de septiembre de 1972,Abogado,II,3,UDI
920,Marcelo Schilling Rodríguez,Partido Socialista,/img.aspx?prmid=g920,18 de mayo de 1949,,V,12,PS
923,Pedro Pablo Alvarez-Salamanca Ramírez,Unión Demócrata Independiente,/img.aspx?prmid=g923,18 de febrero de 1976,Agricultor,VII,38,UDI
924,Osvaldo Andrade Lara,Partido Socialista,/img.aspx?prmid=g924,2 de junio de 1953,Abogado,RM,29,PS
925,Pepe Auth Stewart,Mixto e Independientes,/img.aspx?prmid=g925,6 de marzo de 1957,"Licenciado en Ciencias Pecuarias y Medicina Veterinaria, Estudios de Doctorado en Sociología, Estudios de Psicología",RM,20,IND
927,Pedro Browne Urrejola,Mixto e Independientes,/img.aspx?prmid=g927,29 de junio de 1972,Ingeniero civil,RM,28,IND
929,Cristián Campos Jara,Partido Por la Democracia,/img.aspx?prmid=g929,18 de noviembre de 1972,"Periodista , Ingeniero Comercial",VIII,43,PPD
930,Lautaro Carmona Soto,Partido Comunista - Izquierda Ciudadana,/img.aspx?prmid=g930,26 de abril de 1952,"Administrador Público, Escuela de Ciencias Políticas y Administrativas de la Universidad de Chile",III,5,PC
931,Juan Luis Castro González,Partido Socialista,/img.aspx?prmid=g931,18 de abril de 1960,Médico- Cirujano,VI,32,PS
933,Aldo Cornejo González,Partido Demócrata Cristiano,/img.aspx?prmid=g933,19 de abril de 1955,Abogado,V,13,DC
934,Fuad Chahin Valenzuela,Partido Demócrata Cristiano,/img.aspx?prmid=g934,1 de diciembre de 1976,Abogado,IX,49,DC
935,Rojo Edwards Silva,Renovación Nacional,/img.aspx?prmid=g935,15 de julio de 1977,Ingeniero Civil,IX,51,RN
936,Cristina Girardi Lavín,Partido Por la Democracia,/img.aspx?prmid=g936,9 de enero de 1962,Antropóloga,RM,18,PPD
937,Hugo Gutiérrez Gálvez,Partido Comunista - Izquierda Ciudadana,/img.aspx?prmid=g937,5 de octubre de 1961,Abogado,I,2,PC
938,Romilio Gutiérrez Pino,Unión Demócrata Independiente,/img.aspx?prmid=g938,17 de febrero de 1962,,VII,39,UDI
939,Gustavo Hasbún Selume,Unión Demócrata Independiente,/img.aspx?prmid=g939,2 de agosto de 1972,Periodista,RM,26,UDI
940,María José Hoffmann Opazo,Unión Demócrata Independiente,/img.aspx?prmid=g940,28 de diciembre de 1976,Licenciada en Ciencias Políticas,V,15,UDI
941,Luis Lemus Aracena,Partido Socialista,/img.aspx?prmid=g941,23 de diciembre de 1961,Profesor de Estado,IV,9,PS
942,Javier Macaya Danús,Unión Demócrata Independiente,/img.aspx?prmid=g942,11 de noviembre de 1978,Abogado,VI,34,UDI
944,Andrea Molina Oliva,Unión Demócrata Independiente,/img.aspx?prmid=g944,28 de marzo de 1970,,V,10,UDI
945,Celso Morales Muñoz,Unión Demócrata Independiente,/img.aspx?prmid=g945,10 de julio de 1957,Profesor de Educación Básica en la Pontificia Universidad Católica de Chile,VII,36,UDI
946,Leopoldo Pérez Lahsen,Renovación Nacional,/img.aspx?prmid=g946,28 de marzo de 1957,"Administrador Público, Universidad de Chile, 1985",RM,29,RN
947,Ricardo Rincón González,Partido Demócrata Cristiano,/img.aspx?prmid=g947,22 de marzo de 1966,Abogado,VI,33,DC
