route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
101,TS,101,,,3,,F58220,000000
101c,TS,101c,,,3,,F58220,000000
102,TS,102,,,3,,F58220,000000
103,TS,103,,,3,,F58220,000000
104,TS,104,,,3,,F58220,000000
105,TS,105,,,3,,F58220,000000
106,TS,106,,,3,,F58220,000000
107,TS,107,,,3,,F58220,000000
107c,TS,107c,,,3,,F58220,000000
108,TS,108,,,3,,F58220,000000
109,TS,109,,,3,,F58220,000000
110,TS,110,,,3,,F58220,000000
110c,TS,110c,,,3,,F58220,000000
111,TS,111,,,3,,F58220,000000
112,TS,112,,,3,,F58220,000000
113,TS,113,,,3,,F58220,000000
113e,TS,113e,,,3,,F58220,000000
114,TS,114,,,3,,F58220,000000
115,TS,115,,,3,,F58220,000000
116,TS,116,,,3,,F58220,000000
117,TS,117,,,3,,F58220,000000
117c,TS,117c,,,3,,F58220,000000
118,TS,118,,,3,,F58220,000000
119,TS,119,,,3,,F58220,000000
120,TS,120,,,3,,F58220,000000
121,TS,121,,,3,,F58220,000000
122,TS,122,,,3,,F58220,000000
125,TS,125,,,3,,F58220,000000
126,TS,126,,,3,,F58220,000000
201,TS,201,,,3,,0067AC,FFFFFF
201c,TS,201c,,,3,,0067AC,FFFFFF
201e,TS,201e,,,3,,0067AC,FFFFFF
201ec,TS,201ec,,,3,,0067AC,FFFFFF
202c,TS,202c,,,3,,0067AC,FFFFFF
203,TS,203,,,3,,0067AC,FFFFFF
203e,TS,203e,,,3,,0067AC,FFFFFF
204,TS,204,,,3,,0067AC,FFFFFF
204e,TS,204e,,,3,,0067AC,FFFFFF
205,TS,205,,,3,,0067AC,FFFFFF
205e,TS,205e,,,3,,0067AC,FFFFFF
206,TS,206,,,3,,0067AC,FFFFFF
206e,TS,206e,,,3,,0067AC,FFFFFF
207c,TS,207c,,,3,,0067AC,FFFFFF
207e,TS,207e,,,3,,0067AC,FFFFFF
208,TS,208,,,3,,0067AC,FFFFFF
208c,TS,208c,,,3,,0067AC,FFFFFF
209,TS,209,,,3,,0067AC,FFFFFF
209e,TS,209e,,,3,,0067AC,FFFFFF
210,TS,210,,,3,,0067AC,FFFFFF
211,TS,211,,,3,,0067AC,FFFFFF
211c,TS,211c,,,3,,0067AC,FFFFFF
211e,TS,211e,,,3,,0067AC,FFFFFF
212,TS,212,,,3,,0067AC,FFFFFF
213e,TS,213e,,,3,,0067AC,FFFFFF
214e,TS,214e,,,3,,0067AC,FFFFFF
216,TS,216,,,3,,0067AC,FFFFFF
217e,TS,217e,,,3,,0067AC,FFFFFF
218e,TS,218e,,,3,,0067AC,FFFFFF
219e,TS,219e,,,3,,0067AC,FFFFFF
221e,TS,221e,,,3,,0067AC,FFFFFF
222e,TS,222e,,,3,,0067AC,FFFFFF
223,TS,223,,,3,,0067AC,FFFFFF
224,TS,224,,,3,,0067AC,FFFFFF
224c,TS,224c,,,3,,0067AC,FFFFFF
